Spell Name,Level,School,Ritual,Casting Time,Range,Concentration,Duration,Description,Per Higher Spell Level,Source
Blink,3,Transmutation,,1 action,Self,,1 minute,"Roll a d20 at the end of each of your turns for the duration of the spell. On a roll of 11 or higher, you vanish from your current plane of existence and appear in the Ethereal Plane (the spell fails and the casting is wasted if you were already on that plane). At the start of your next turn, and when the spell ends if you are on the Ethereal Plane, you return to an unoccupied space of your choice that you can see within 10 feet of the space you vanished from. If no unoccupied space is available within that range, you appear in the nearest unoccupied space (chosen at random if more than one space is equally near). You can dismiss this spell as an action.",,PHB
Blur,2,Illusion,,1 action,Self,true,1 minute,"Your body becomes blurred, shifting and wavering to all who can see you. For the duration, any creature has disadvantage on attack rolls against you. An attacker is immune to this effect if it doesn't rely on sight, as with blindsight, or can see through illusions, as with truesight.",,PHB
Branding Smite,2,Evocation,,1 bonus action,Self,true,1 minute,"The next time you hit a creature with a weapon attack before this spell ends, the weapon gleams with astral radiance as you strike. The attack deals an extra 2d6 radiant damage to the target, which becomes visible if it's invisible, and the target sheds dim light in a 5-foot radius and can't become invisible until the spell ends.",,PHB
Burning Hands,1,Evocation,,1 action,Self,,Instantaneous,"As you hold your hands with thumbs touching and fingers spread, a thin sheet of flames shoots forth from your outstretched fingertips. Each creature in a 15-foot cone must make a dexterity saving throw. A creature takes 3d6 fire damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",PHB
Call Lightning,3,Conjuration,,1 action,120 ft.,true,10 minutes,"A storm cloud appears in the shape of a cylinder that is 10 feet tall with a 60-foot radius, centered on a point you can see 100 feet directly above you. The spell fails if you can't see a point in the air where the storm cloud could appear (for example, if you are in a room that can't accommodate the cloud).","When you cast this spell using a spell slot of 4th or higher level, the damage increases by 1d10 for each slot level above 3rd.",PHB
Calm Emotions,2,Enchantment,,1 action,60 ft.,true,1 minute,You attempt to suppress strong emotions in a group of people. Each humanoid in a 20-foot-radius sphere centered on a point you choose within range must make a charisma saving throw," a creature can choose to fail this saving throw if it wishes. If a creature fails its saving throw, choose one of the following two effects. You can suppress any effect causing a target to be charmed or frightened. When this spell ends, any suppressed effect resumes, provided that its duration has not expired in the meantime.",PHB
Chain Lightning,6,Evocation,,1 action,150 ft.,,Instantaneous,"You create a bolt of lightning that arcs toward a target of your choice that you can see within range. Three bolts then leap from that target to as many as three other targets, each of which must be within 30 feet of the first target. A target can be a creature or an object and can be targeted by only one of the bolts.","When you cast this spell using a spell slot of 7th level or higher, one additional bolt leaps from the first target to another target for each slot level above 6th.",PHB
Charm Person,1,Enchantment,,1 action,30 ft.,,1 hour,"You attempt to charm a humanoid you can see within range. It must make a wisdom saving throw, and does so with advantage if you or your companions are fighting it. If it fails the saving throw, it is charmed by you until the spell ends or until you or your companions do anything harmful to it. The charmed creature regards you as a friendly acquaintance. When the spell ends, the creature knows it was charmed by you.","When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.",PHB
Chill Touch,0,Necromancy,,1 action,120 ft.,,1 round,"You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target.",,PHB
Chromatic Orb,1,Evocation,,1 action,90 ft.,,Instantaneous,,,PHB
Circle of Death,6,Necromancy,,1 action,150 ft.,,Instantaneous,"A sphere of negative energy ripples out in a 60-foot radius sphere from a point within range. Each creature in that area must make a constitution saving throw. A target takes 8d6 necrotic damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 7th level or higher, the damage increases by 2d6 for each slot level above 6th.",PHB
Circle of Power,5,Abjuration,,1 action,Self,true,10 minutes,,,PHB
Clairvoyance,3,Divination,,10 minutes,1 mile,true,10 minutes,"You create an invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a door, around a corner, or in a grove of trees). The sensor remains in place for the duration, and it can't be attacked or otherwise interacted with.",,PHB
Clone,8,Necromancy,,1 hour,Touch,,Instantaneous,This spell grows an inert duplicate of a living creature as a safeguard against death. This clone forms inside a sealed vessel and grows to full size and maturity after 120 days," you can also choose to have the clone be a younger version of the same creature. It remains inert and endures indefinitely, as long as its vessel remains undisturbed.",PHB
Cloud of Daggers,2,Conjuration,,1 action,60 ft.,true,1 minute,,,PHB
Cloudkill,5,Conjuration,,1 action,120 ft.,true,10 minutes,"You create a 20-foot-radius sphere of poisonous, yellow-green fog centered on a point you choose within range. The fog spreads around corners. It lasts for the duration or until strong wind disperses the fog, ending the spell. Its area is heavily obscured.","When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th.",PHB
Color Spray,1,Illusion,,1 action,Self,,1 round,"A dazzling array of flashing, colored light springs from your hand. Roll 6d10,  the total is how many hit points of creatures this spell can effect. Creatures in a 15-foot cone originating from you are affected in ascending order of their current hit points (ignoring unconscious creatures and creatures that can't see).","When you cast this spell using a spell slot of 2nd level or higher, roll an additional 2d10 for each slot level above 1st.",PHB
Command,1,Enchantment,,1 action,60 ft.,,1 round,"You speak a one-word command to a creature you can see within range. The target must succeed on a wisdom saving throw or follow the command on its next turn. The spell has no effect if the target is undead, if it doesn't understand your language, or if your command is directly harmful to it.","When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional creature for each slot level above 1st. The creatures must be within 30 feet of each other when you target them.",PHB
Commune,5,Divination,true,1 minute,Self,,1 minute,You contact your deity or a divine proxy and ask up to three questions that can be answered with a yes or no. You must ask your questions before the spell ends. You receive a correct answer for each question.,,PHB
Commune with Nature,5,Divination,true,1 minute,Self,,Instantaneous,"You briefly become one with nature and gain knowledge of the surrounding territory. In the outdoors, the spell gives you knowledge of the land within 3 miles of you. In caves and other natural underground settings, the radius is limited to 300 feet. The spell doesn't function where nature has been replaced by construction, such as in dungeons and towns.",,PHB
Compelled Duel,1,Enchantment,,1 bonus action,30 ft.,true,1 minute,,,PHB
Comprehend Languages,1,Divination,true,1 action,Self,,1 hour,"For the duration, you understand the literal meaning of any spoken language that you hear. You also understand any written language that you see, but you must be touching the surface on which the words are written. It takes about 1 minute to read one page of text.",,PHB
Compulsion,4,Enchantment,,1 action,30 ft.,true,1 minute,"Creatures of your choice that you can see within range and that can hear you must make a wisdom saving throw. A target automatically succeeds on this saving throw if it can't be charmed. On a failed save, a target is affected by this spell. Until the spell ends, you can use a bonus action on each of your turns to designate a direction that is horizontal to you. Each affected target must use as much of its movement as possible to move in that direction on its next turn. It can take any action before it moves. After moving in this way, it can make another Wisdom save to try to end the effect.",,PHB
Cone of Cold,5,Evocation,,1 action,Self,,Instantaneous,"A blast of cold air erupts from your hands. Each creature in a 60-foot cone must make a constitution saving throw. A creature takes 8d8 cold damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 6th level or higher, the damage increases by 1d8 for each slot level above 5th.",PHB
Confusion,4,Enchantment,,1 action,90 ft.,true,1 minute,"This spell assails and distorts the minds of creatures, generating illusions and causing uncontrolled actions. Each creature in a sphere of 10-foot-radius centered on a point chosen in the range of the spell must make a wisdom saving throw otherwise it will be affected by the spell.","When you cast this spell using a level spell slot 5 or more, the radius of the sphere increases by 5 feet for each level of higher spell slot to 4.",PHB
Conjure Animals,3,Conjuration,,1 action,60 ft.,true,1 hour,You summon fey spirits that take the form of beasts and appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:,"When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 5th-level slot, three times as many with a 7th-level.",PHB
Conjure Barrage,3,Conjuration,,1 action,Self,,Instantaneous,,,PHB
Conjure Celestial,7,Conjuration,,1 minute,90 ft.,true,1 hour,"You summon a celestial of challenge rating 4 or lower, which appears in an unoccupied space that you can see within range. The celestial disappears when it drops to 0 hit points or when the spell ends.","When you cast this spell using a 9th-level spell slot, you summon a celestial of challenge rating 5 or lower.",PHB
Conjure Elemental,5,Conjuration,,1 minute,90 ft.,true,1 hour,"You call forth an elemental servant. Choose an area of air, earth, fire, or water that fills a 10-foot cube within range. An elemental of challenge rating 5 or lower appropriate to the area you chose appears in an unoccupied space within 10 feet of it. For example, a fire elemental emerges from a bonfire, and an earth elemental rises up from the ground. The elemental disappears when it drops to 0 hit points or when the spell ends.","When you cast this spell using a spell slot of 6th level or higher, the challenge rating increases by 1 for each slot level above 5th.",PHB
Conjure Fey,6,Conjuration,,1 minute,90 ft.,true,1 hour,"You summon a fey creature of challenge rating 6 or lower, or a fey spirit that takes the form of a beast of challenge rating 6 or lower. It appears in an unoccupied space that you can see within range. The fey creature disappears when it drops to 0 hit points or when the spell ends.","When you cast this spell using a spell slot of 7th level or higher, the challenge rating increases by 1 for each slot level above 6th.",PHB
Conjure Minor Elementals,4,Conjuration,,1 minute,90 ft.,true,1 hour,You summon elementals that appear in unoccupied spaces that you can see within range. You choose one the following options for what appears:,"When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot.",PHB
Conjure Volley,5,Conjuration,,1 action,150 ft.,,Instantaneous,,,PHB
Conjure Woodland Beings,4,Conjuration,,1 action,60 ft.,true,1 hour,You summon fey creatures that appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:,"When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot.",PHB
Contact Other Plane,5,Divination,true,1 minute,Self,,1 minute,"You mentally contact a demigod, the spirit of a long-dead sage, or some other mysterious entity from another plane. Contacting this extraplanar intelligence can strain or even break your mind. When you cast this spell, make a DC 15 intelligence saving throw. On a failure, you take 6d6 psychic damage and are insane until you finish a long rest. While insane, you can't take actions, can't understand what other creatures say, can't read, and speak only in gibberish. A greater restoration spell cast on you ends this effect.",,PHB
Contagion,5,Necromancy,,1 action,Touch,,7 days,"Your touch inflicts disease. Make a melee spell attack against a creature within your reach. On a hit, you afflict the creature with a disease of your choice from any of the ones described below.",,PHB
Contingency,6,Evocation,,10 minutes,Self,,10 days,"Choose a spell of 5th level or lower that you can cast, that has a casting time of 1 action, and that can target you. You cast that spell--called the contingent spell--as part of casting contingency, expending spell slots for both, but the contingent spell doesn't come into effect. Instead, it takes effect when a certain circumstance occurs. You describe that circumstance when you cast the two spells. For example, a contingency cast with water breathing might stipulate that water breathing comes into effect when you are engulfed in water or a similar liquid.",,PHB
Continual Flame,2,Evocation,,1 action,Touch,,Until Dispelled,"A flame, equivalent in brightness to a torch, springs forth from an object that you touch. The effect looks like a regular flame, but it creates no heat and doesn't use oxygen. A continual flame can be covered or hidden but not smothered or quenched.",,PHB
Control Water,4,Transmutation,,1 action,300 ft.,true,10 minutes,"Until the spell ends, you control any freestanding water inside an area you choose that is a cube up to 100 feet on a side. You can choose from any of the following effects when you cast this spell. As an action on your turn, you can repeat the same effect or choose a different one.",,PHB
Control Weather,8,Transmutation,,10 minutes,Self,true,8 hours,You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell. Moving to a place where you don't have a clear path to the sky ends the spell early.,,PHB
Cordon of Arrows,2,Transmutation,,1 action,5 ft.,,8 hours,,,PHB
Counterspell,3,Abjuration,,1 reaction (spell cast),60 ft.,,Instantaneous,"You attempt to interrupt a creature in the process of casting a spell. If the creature is casting a spell of 3rd level or lower, its spell fails and has no effect. If it is casting a spell of 4th level or higher, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a success, the creature's spell fails and has no effect.","When you cast this spell using a spell slot of 4th level or higher, the interrupted spell has no effect if its level is less than or equal to the level of the spell slot you used.",PHB
Create Food and Water,3,Conjuration,,1 action,30 ft.,,Instantaneous,"You create 45 pounds of food and 30 gallons of water on the ground or in containers within range, enough to sustain up to fifteen humanoids or five steeds for 24 hours. The food is bland but nourishing, and spoils if uneaten after 24 hours. The water is clean and doesn't go bad.",,PHB
Create or Destroy Water,1,Transmutation,,1 action,30 ft.,,Instantaneous,You either create or destroy water.,"When you cast this spell using a spell slot of 2nd level or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 feet, for each slot level above 1st.",PHB
Create Undead,6,Necromancy,,1 minute,10 ft.,,Instantaneous,You can cast this spell only at night. Choose up to three corpses of Medium or Small humanoids within range. Each corpse becomes a ghoul under your control. (The DM has game statistics for these creatures.),"When you cast this spell using a 7th-level spell slot, you can animate or reassert control over four ghouls. When you cast this spell using an 8th-level spell slot, you can animate or reassert control over five ghouls or two ghasts or wights. When you cast this spell using a 9th-level spell slot, you can animate or reassert control over six ghouls, three ghasts or wights, or two mummies.",PHB
Creation,5,Illusion,,1 minute,30 ft.,,See Sourcebook.,"You pull wisps of shadow material from the Shadowfell to create a nonliving object of vegetable matter within range: soft goods, rope, wood, or something similar. You can also use this spell to create mineral objects such as stone, crystal, or metal. The object created must be no larger than a 5-foot cube, and the object must be of a form and material that you have seen before.","When you cast this spell using a spell slot of 6th level or higher, the cube increases by 5 feet for each slot level above 5th.",PHB
Crown of Madness,2,Enchantment,,1 action,120 ft.,true,1 minute,,,PHB
Crusader's Mantle,3,Evocation,,1 action,Self,true,1 minute,,,PHB
Cure Wounds,1,Evocation,,1 action,Touch,,Instantaneous,A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.,"When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above 1st.",PHB
Dancing Lights,0,Evocation,,1 action,120 ft.,true,1 minute,"You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius.",,PHB
Darkness,2,Evocation,,1 action,60 ft.,true,10 minutes,"Magical darkness spreads from a point you choose within range to fill a 15-foot-radius sphere for the duration. The darkness spreads around corners. A creature with darkvision can't see through this darkness, and nonmagical light can't illuminate it.",,PHB
Darkvision,2,Transmutation,,1 action,Touch,,8 hours,"You touch a willing creature to grant it the ability to see in the dark. For the duration, that creature has darkvision out to a range of 60 feet.",,PHB
Daylight,3,Evocation,,1 action,60 ft.,,1 hour,A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional 60 feet.,,PHB
Death Ward,4,Abjuration,,1 action,Touch,,8 hours,You touch a creature and grant it a measure of protection from death.,,PHB
Delayed Blast Fireball,7,Evocation,,1 action,150 ft.,true,1 minute,"A beam of yellow light flashes from your pointing finger, then condenses to linger at a chosen point within range as a glowing bead for the duration. When the spell ends, either because your concentration is broken or because you decide to end it, the bead blossoms with a low roar into an explosion of flame that spreads around corners. Each creature in a 20-foot-radius sphere centered on that point must make a dexterity saving throw. A creature takes fire damage equal to the total accumulated damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 8th level or higher, the base damage increases by 1d6 for each slot level above 7th.",PHB
Demiplane,8,Conjuration,,1 action,60 ft.,,1 hour,"You create a shadowy door on a flat solid surface that you can see within range. The door is large enough to allow Medium creatures to pass through unhindered. When opened, the door leads to a demiplane that appears to be an empty room 30 feet in each dimension, made of wood or stone. When the spell ends, the door disappears, and any creatures or objects inside the demiplane remain trapped there, as the door also disappears from the other side.",,PHB
Destructive Wave,5,Evocation,,1 action,Self,,Instantaneous,,,PHB
Detect Evil and Good,1,Divination,,1 action,Self,true,10 minutes,"For the duration, you know if there is an aberration, celestial, elemental, fey, fiend, or undead within 30 feet of you, as well as where the creature is located. Similarly, you know if there is a place or object within 30 feet of you that has been magically consecrated or desecrated.",,PHB
Detect Magic,1,Divination,true,1 action,Self,true,10 minutes,"For the duration, you sense the presence of magic within 30 feet of you. If you sense magic in this way, you can use your action to see a faint aura around any visible creature or object in the area that bears magic, and you learn its school of magic, if any.",,PHB
Detect Poison and Disease,1,Divination,true,1 action,Self,true,10 minutes,"For the duration, you can sense the presence and location of poisons, poisonous creatures, and diseases within 30 feet of you. You also identify the kind of poison, poisonous creature, or disease in each case.",,PHB
Detect Thoughts,2,Divination,,1 action,Self,true,1 minute,"For the duration of the spell, you can read the thoughts of some creatures. While casting the spell and at your action in each round until the spell, you may focus your mind on a creature you can see 30 feet of you. If the chosen creature has an Intelligence of 3 or less, or if she does not speak any language, the creature is not affected.",,PHB
Dimension Door,4,Conjuration,,1 action,500 ft.,,Instantaneous,"You teleport yourself from your current location to any other spot within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualize, or one you can describe by stating distance and direction, such as 200 feet straight downward or upward to the northwest at a 45-degree angle, 300 feet.",,PHB
Disguise Self,1,Illusion,,1 action,Self,,1 hour,"You make yourself--including your clothing, armor, weapons, and other belongings on your person--look different until the spell ends or until you use your action to dismiss it. You can seem 1 foot shorter or taller and can appear thin, fat, or in between. You can't change your body type, so you must adopt a form that has the same basic arrangement of limbs. Otherwise, the extent of the illusion is up to you.",,PHB
Disintegrate,6,Transmutation,,1 action,60 ft.,,Instantaneous,"A thin green ray springs from your pointing finger to a target that you can see within range. The target can be a creature, an object, or a creation of magical force, such as the wall created by wall of force.","When you cast this spell using a spell slot of 7th level or higher, the damage increases by 3d6 for each slot level above 6th.",PHB
Dispel Evil and Good,5,Abjuration,,1 action,Self,true,1 minute,"Shimmering energy surrounds and protects you from fey, undead, and creatures originating from beyond the Material Plane. For the duration, celestials, elementals, fey, fiends, and undead have disadvantage on attack rolls against you.",,PHB
Dispel Magic,3,Abjuration,,1 action,120 ft.,,Instantaneous,"Choose one creature, object, or magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the target, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a successful check, the spell ends.","When you cast this spell using a spell slot of 4th level or higher, you automatically end the effects of a spell on the target if the spell's level is equal to or less than the level of the spell slot you used.",PHB
Dissonant Whispers,1,Enchantment,,1 action,60 ft.,,Instantaneous,,,PHB
Divination,4,Divination,true,1 action,Self,,Instantaneous,"Your magic and an offering put you in contact with a god or a god's servants. You ask a single question concerning a specific goal, event, or activity to occur within 7 days. The DM offers a truthful reply. The reply might be a short phrase, a cryptic rhyme, or an omen.",,PHB
Divine Favor,1,Evocation,,1 bonus action,Self,true,1 minute,"Your prayer empowers you with divine radiance. Until the spell ends, your weapon attacks deal an extra 1d4 radiant damage on a hit.",,PHB
Divine Word,7,Evocation,,1 bonus action,30 ft.,,Instantaneous,"You speak a word of God, full of the power that has shaped the world at the dawn of creation. Choose as many creatures as you want from those you see, in the range of the spell. Every creature that hears you must make a backup Charisma, or she undergoes an effect based on the current value of his life.",,PHB
